[2024-08-13 10:01:29] local.ERROR: Failed to update Password: Unauthorized Access | SLE0001  
[2024-08-13 10:21:06] local.ERROR: Failed to update Password: Unauthorized Access | 200000000  
[2024-08-13 10:22:24] local.ERROR: Failed to update Password: Unauthorized Access | 200000000  
[2024-08-13 10:22:37] local.ERROR: Failed to update Password: Unauthorized Access | 200000000  
[2024-08-13 10:22:57] local.ERROR: Failed to update Password: Unauthorized Access | 200000000  
[2024-08-13 10:23:53] local.ERROR: Failed to update Password: Unauthorized Access | 200000000  
[2024-08-13 10:37:30] local.ERROR: Failed to update Password: Unauthorized Access | SLEA9999  
[2024-08-15 14:29:34] local.ERROR: Failed to update Password: Unauthorized Access | SLE0009  
[2024-08-15 14:33:40] local.ERROR: Failed to update Password: Unauthorized Access | SLE0009  
[2024-08-15 14:34:28] local.ERROR: Failed to update Password: Unauthorized Access | SLE0009  
[2024-08-15 14:34:57] local.ERROR: Failed to update Password: Unauthorized Access | SLE0009  
