[2024-08-06 16:13:56] local.ERROR: Failed to save Hrticket: The selected Mode of Application is invalid.  
[2024-08-08 09:03:45] local.ERROR: Failed to save Hrticket: The selected Mode of Application is invalid.  
[2024-08-12 15:09:42] local.ERROR: Failed to update Hrticket: Undefined variable $e  
[2024-08-12 15:10:54] local.ERROR: Failed to update Hrticket: Undefined variable $e  
[2024-08-12 15:11:34] local.ERROR: Failed to update Hrticket: Undefined variable $e  
[2024-08-12 15:12:43] local.ERROR: Failed to update Hrticket: Undefined variable $e  
[2024-08-12 15:14:25] local.ERROR: Failed to update Leave Request: Unauthorized Access| SLE0001  
[2024-08-12 15:20:16] local.ERROR: Failed to update Leave Request: Unauthorized Access | SLE0001  
[2024-08-12 15:21:59] local.ERROR: Failed to update Leave Request: Unauthorized Access | SLE0001  
[2024-08-12 15:30:57] local.ERROR: Failed to update Leave Request: Unauthorized Access | SLE0001  
[2024-08-12 15:31:04] local.ERROR: Failed to update Leave Request: Unauthorized Access | SLE0001  
[2024-08-12 15:35:51] local.ERROR: Failed to update Leave Request: Unauthorized Access | SLE0001  
[2024-08-12 15:36:38] local.ERROR: Failed to update Leave Request: Unauthorized Access | SLE0001  
[2024-08-12 15:49:51] local.ERROR: Failed to update Leave Request: Property [$index] not found on component: [my-approvals.leaverequests.approve-leaverequest-table] | SLE0001  
[2024-08-15 15:22:14] local.ERROR: Failed to view Hrticket: No Record Found | SLEA9999  
[2024-08-15 15:23:40] local.ERROR: Failed to view Hrticket: No Record Found | SLEA9999  
[2024-08-15 15:24:01] local.ERROR: Failed to view Hrticket: No Record Found | SLEA9999  
[2024-08-15 16:09:24] local.ERROR: Failed to view Leave Request: Call to undefined method Illuminate\Database\Eloquent\Builder::fetch() | SLEA9999  
[2024-08-15 16:10:08] local.ERROR: Failed to view Leave Request: Call to undefined method Illuminate\Database\Eloquent\Builder::fetch() | SLEA9999  
[2024-08-15 16:14:25] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:14:49] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:15:22] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:15:29] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:15:39] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:16:31] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:17:06] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:17:27] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:17:42] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:17:45] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:19:14] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:19:46] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:21:29] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:22:20] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:22:33] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-15 16:23:01] local.ERROR: Failed to view/approve Leave Request: No Record Found | SLEA9999  
[2024-08-16 08:19:45] local.ERROR: Failed to update Leave Request: Property [$currentFormId] not found on component: [my-approvals.leaverequests.approve-leaverequest-form] | SLE0001  
